Sudoku,Difficulty,Givens,Highest Technique,Tediousness,HoDoKu,SE,Solution
740060358500097160000583049064002985003050600985100270490378000052610007817020036,Very Easy,47,Hidden Single (Box),Very Low,214,1.2,749261358538497162621583749164732985273859614985146273496378521352614897817925436
030752060802004900040800500308000090100040237260007800029076105600520040000080306,Very Easy,37,Hidden Single (Box),Very Low,314,1.2,931752468852164973746893512378215694195648237264937851429376185683521749517489326
605000243703964508004035000432090051006040700870010634000720400307486109248000307,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,695871243723964518184235976432697851516348792879512634961723485357486129248159367
000108000390604057080395010015000320903000501068000970050862040130709068000401000,Very Easy,38,Hidden Single (Box),Very Low,304,1.2,542178639391624857687395412415987326973246581268513974759862143134759268826431795
030040070000957000509000601012000850950401026047000310304000507000679000020030090,Very Easy,34,Hidden Single (Box),Very Low,350,1.2,238146975461957283579328641612793854953481726847265319394812567185679432726534198
529063108008020005601005723804507000970040056000608409486300502200010300307850694,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,529763148738124965641985723864597231973241856152638479486379512295416387317852694
039504070105306004624879300250007948001640700740980165007050629090701503500203410,Very Easy,49,Hidden Single (Box),Very Low,194,1.2,839514276175326894624879351256137948981645732743982165317458629492761583568293417
000060084003050706260700130038200000092000018470005200300027060020581300801900500,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,715362984983154726264798135138249657592673418476815293359427861627581349841936572
470800503006400008801200490000070362000506000682010000068003204500002700307009085,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,479861523236495178851237496145978362793526841682314957968753214514682739327149685
142000005000029803039000402060984000080507030000236040401000370603790000700000651,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,142863795576429813839175462365984127284517936917236548421658379653791284798342651
305019068149870532200040790007625004681037259000008070800051043450080010713060825,Very Easy,49,Hidden Single (Box),Very Low,200,1.2,375219468149876532268543791937625184681437259524198376892751643456382917713964825
420738000070910602915620803050269030700853004060471080502086917109047020000192058,Very Easy,49,Hidden Single (Box),Very Low,218,1.2,426738195378915642915624873854269731791853264263471589542386917189547326637192458
807504301000207000036000720502040803078000950304090207069000130000602000205309406,Very Easy,38,Hidden Single (Box),Very Low,310,1.2,827564391951237648436981725592746813678123954314895267769458132143672589285319476
006000400007018065000326087083090200560207000074080600000861093008034012005000800,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,836759421927418365451326987183695274569247138274183659742861593698534712315972846
085000420002471900900020007270103054000209000530708069400080006003514700058000340,Very Easy,38,Hidden Single (Box),Very Low,304,1.2,785936421362471985914825637279163854846259173531748269497382516623514798158697342
257810000860004500903062870400120960306408102029056003038940206004200095000031748,Very Easy,46,Hidden Single (Box),Very Low,224,1.2,257819634861374529943562871485123967376498152129756483738945216614287395592631748
564001070209004183831970050007020598005460000310005406080507260756200831090306045,Very Easy,47,Hidden Single (Box),Very Low,214,1.2,564831972279654183831972654647123598925468317318795426483517269756249831192386745
430015006000003009009478100921000300603000705008000214006142500500800000100590032,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,437915826815623479269478153921754368643281795758369214396142587572836941184597632
070000000003065120400000590006008030934600050720150000000012060650480003080370400,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,175294386893765124462831597516948732934627851728153649347512968651489273289376415
900003405003000690240090073706030002809204700000150000002076010530000200090042807,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,968713425173425698245698173716839542859264731324157986482576319537981264691342857
010590000405023000096008500500006200740035010082410050007300805000074020000000901,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,813597462475623189296148537531786294749235618682419753927361845158974326364852971
400008670000070042000502801002790306010805020609024100205603000870010000036400008,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,421938675358176942967542831542791386713865429689324157295683714874219563136457298
070108050008050400120469087087000160316895274094000530630547012001080600040306090,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,473128956968753421125469387587234169316895274294671538639547812751982643842316795
417250306250000010900300705506403000800000004000701502709002001040000079105079243,Very Easy,38,Hidden Single (Box),Very Low,304,1.2,417258396253967418968314725526493187871526934394781562739842651642135879185679243
003764800670030014008020600016209580820513069049608230005090700980050026004382100,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,193764852672835914458921673316249587827513469549678231235196748981457326764382195
016400085090080614340061720507814900064095170020306008102048006050130847403007200,Very Easy,47,Hidden Single (Box),Very Low,220,1.2,716429385295783614348561729537814962864295173921376458172948536659132847483657291
910700032340095861052006700079614008080953070600872910001300620563420087720001093,Very Easy,49,Hidden Single (Box),Very Low,200,1.2,916748532347295861852136749279614358184953276635872914491387625563429187728561493
006010702000003600014679300050002080160504079090700030003147920001300000709050100,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,836415792975823614214679358357962481168534279492781536683147925521396847749258163
700020350000008421004036097000300940907010603062009000470850200695700000028090004,Very Easy,37,Hidden Single (Box),Very Low,320,1.2,789124356536978421214536897851367942947215683362489715473851269695742138128693574
346057008700000060001006300102083004400295006600170209005700900070000002200830751,Very Easy,37,Hidden Single (Box),Very Low,314,1.2,346957128729318465581426397192683574437295816658174239815762943973541682264839751
000482000410306089003105700130000025009208600580000047008501400290807016000924000,Very Easy,38,Hidden Single (Box),Very Low,310,1.2,967482153415376289823195764136749825749258631582613947378561492294837516651924378
105039820076008000820100094008001940400062315510394008300280470701940286004016030,Very Easy,46,Hidden Single (Box),Very Low,224,1.2,145639827976428153823157694638571942497862315512394768369285471751943286284716539
590476012600030005030195040342080169050643020786020453070259030400010007920764081,Very Easy,49,Hidden Single (Box),Very Low,206,1.2,598476312614832975237195846342587169159643728786921453871259634465318297923764581
003019070500400009201580600105700006780000041900008702006074203300006005020350800,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,643219578578463129291587634135742986782695341964138752856974213317826495429351867
300007600009010350080406971003004206070080030908600700826109040097040100001200007,Very Easy,37,Hidden Single (Box),Very Low,320,1.2,314957628769812354285436971153794286672581439948623715826179543597348162431265897
072051384043000105500200096059870001080034009006902800004307012000028043000000600,Very Easy,38,Hidden Single (Box),Very Low,304,1.2,972651384643789125518243796259876431187534269436912857894367512765128943321495678
090317805304000020007049006409678102070021504821004009132406750705180003948703060,Very Easy,48,Hidden Single (Box),Very Low,210,1.2,296317845314865927587249316459678132673921584821534679132496758765182493948753261
087510064600003108100840059490320510038651492510790830800160043200007905049280071,Very Easy,50,Hidden Single (Box),Very Low,190,1.2,987512364654973128123846759496328517738651492512794836875169243261437985349285671
800569020056010070020708659702893540360254008508176900003605080275900364001040095,Very Easy,49,Hidden Single (Box),Very Low,200,1.2,837569421956412873124738659712893546369254718548176932493625187275981364681347295
051907000030005960670080540080670093000048600300009002560000009002006354004500700,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,451967238238415967679283541185672493927348615346159872563724189712896354894531726
900300085300025900075004100067401008010000070400207590003600210006150003140003009,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,924316785381725964675984132567491328219538476438267591853649217796152843142873659
050680792760020008009001005000700200307900086500842003800050100070000034905130020,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,153684792764529318289371645498763251327915486516842973832457169671298534945136827
206005004009420000007601832804000520030070060092000108925304600000056300100900205,Very Easy,37,Hidden Single (Box),Very Low,320,1.2,286735914319428756457691832874169523531872469692543178925314687748256391163987245
200048930000063004000107280001000000840000069973006105107002603504080000020071400,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,216548937798263514435197286651934872842715369973826145187452693564389721329671458
040008200215000890080271000009007103006010040102306500560704028020080900000600400,Very Easy,35,Hidden Single (Box),Very Low,340,1.2,647958231215463897983271654459827163836519742172346589561794328324185976798632415
010073048034081659809406000198032000300010002000790136000109705951860420260340080,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,615973248734281659829456317198632574376514892542798136483129765951867423267345981
240010078106020504300854006800571003701639802963000751508060209670182035410090087,Very Easy,50,Hidden Single (Box),Very Low,202,1.2,245916378186723594397854126824571963751639842963248751538467219679182435412395687
000000000800906004016802530007513800060000050201000403005371200630000087070208090,Very Easy,34,Hidden Single (Box),Very Low,350,1.2,549137628823956714716842539497513862368724951251689473985371246632495187174268395
870006009000900080003014700007000204650370900200050070920005400041080006005240001,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,872536149416927385593814762137698254654372918289451673928165437341789526765243891
600593002570000046001070500030701060705204809060908070006080400840000051300147008,Very Easy,38,Hidden Single (Box),Very Low,304,1.2,684593712573812946291476583938751264715264839462938175126385497847629351359147628
500906012210040530038105400305000604070050020601000908003702180089060043160403005,Very Easy,41,Hidden Single (Box),Very Low,274,1.2,547936812216847539938125467395218674874659321621374958453792186789561243162483795
500084031040300725001025040050140906706803204402057080060470300973008060180230007,Very Easy,44,Hidden Single (Box),Very Low,256,1.2,527984631849361725631725849358142976716893254492657183265479318973518462184236597
001400870600010920084032650048009507520180046076003208012054760900070430007200180,Very Easy,44,Hidden Single (Box),Very Low,256,1.2,291465873653718924784932651348629517529187346176543298812354769965871432437296185
000003279002095400601000000720106080008002090460309010507000000003054100000001857,Very Easy,33,Hidden Single (Box),Very Low,360,1.2,854613279372895461691427538729146385138572694465389712517268943983754126246931857
070523410120080090000170208504602900319007062200935100802701000750060030006050001,Very Easy,41,Hidden Single (Box),Very Low,274,1.2,978523416125486397643179258584612973319847562267935184832791645751264839496358721
000030001000089206628510073001000350500060009032000400150048692403670000200050000,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,749236581315789246628514973961427358574863129832195467157348692493672815286951734
500074001780520000000180300030006004000000178279000560020400000904207080860900032,Very Easy,34,Hidden Single (Box),Very Low,350,1.2,593674821781523946642189357138756294456392178279841563325468719914237685867915432
000198400003700000902600850300000629100080005725000003064009508000005300009861000,Very Easy,33,Hidden Single (Box),Very Low,360,1.2,657198432483752961912634857348517629196283745725946183264379518871425396539861274
000000703835790000900060005001900000500280340780051060010004050349600080650810430,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,162548793835792614974163825421936578596287341783451269218374956349625187657819432
080906010900318007004702800039000740040030080018000920002601300600893004070504090,Very Easy,37,Hidden Single (Box),Very Low,320,1.2,387946512925318467164752839239185746746239185518467923492671358651893274873524691
506140900970562401042800675603275000700000008000986307451008720309751046007029503,Very Easy,48,Hidden Single (Box),Very Low,210,1.2,536147982978562431142893675683275194795314268214986357451638729329751846867429513
300000002001846900080030050500207009620090018700103004060020080009315200400000005,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,347951862251846973986732451514287639623594718798163524165429387879315246432678195
600975003410080059050040070308000905001608700705000108030090080570030046800567001,Very Easy,38,Hidden Single (Box),Very Low,310,1.2,682975413417283659953146872368714925291658734745329168136492587579831246824567391
000195000002030400508020901037209140006804300014307250600080004300070002080502090,Very Easy,37,Hidden Single (Box),Very Low,314,1.2,463195827192738465578426931837259146256814379914367258625983714349671582781542693
200600000809230760170040320603485000405097680780306049007012050510900400960754831,Very Easy,46,Hidden Single (Box),Very Low,224,1.2,234678195859231764176549328693485217425197683781326549347812956518963472962754831
706500028590008030001300409010030605000491000203070010102006500050900061960003207,Very Easy,37,Hidden Single (Box),Very Low,314,1.2,736549128594218736821367459419832675675491382283675914142786593357924861968153247
640030197197600085803090460000162070205807906070953000084010709560009823729080041,Very Easy,48,Hidden Single (Box),Very Low,204,1.2,642538197197624385853791462938162574215847936476953218384216759561479823729385641
039100004000306017751800900200030040308000702400080050526700400000208065084500003,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,639175824842396517751824936215937648368451792497682351526713489973248165184569273
010703000703900516002004700370690120195238674820470390007009400401300269050106000,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,518763942743982516962514783374695128195238674826471395637829451481357269259146837
070583020005090100009127800000070000800432001406815307601759402758040936900368005,Very Easy,45,Hidden Single (Box),Very Low,246,1.2,174583629285694173369127854513976248897432561426815397631759482758241936942368715
287419653510376028060000090600148007045703860000562000826030175900207006030601080,Very Easy,47,Hidden Single (Box),Very Low,226,1.2,287419653519376428463825791692148537145793862378562914826934175951287346734651289
568000932000308000040090070005721300001030400006489700050010040000805000379000815,Very Easy,35,Hidden Single (Box),Very Low,340,1.2,568147932927358164143692578495721386781536429236489751852913647614875293379264815
207106308080003140130450007360214705002935800501867032600089073059300010703601509,Very Easy,49,Hidden Single (Box),Very Low,200,1.2,247196358985723146136458927368214795472935861591867432614589273859372614723641589
008052107040100620003000895130095008625078001070000050006020304080564070000037000,Very Easy,37,Hidden Single (Box),Very Low,314,1.2,968352147547189623213746895134295768625478931879613452756921384381564279492837516
900000004374000189018304760500070003003916500001508900060000020007050800000763000,Very Easy,34,Hidden Single (Box),Very Low,344,1.2,956187234374625189218394765589472613723916548641538972165849327437251896892763451
240390005000874002003005400028000079630000054790000310002400900500936000300028046,Very Easy,36,Hidden Single (Box),Very Low,324,1.2,247391865956874132813265497428513679631789254795642318162457983584936721379128546
451078000670300050902160800025004007304050206100900480003091608010002039000530741,Very Easy,41,Hidden Single (Box),Very Low,274,1.2,451278963678349152932165874825614397394857216167923485543791628716482539289536741
051607480700000003806010705082000370000805000007903600040050030030060020278439516,Very Easy,38,Hidden Single (Box),Very Low,316,1.2,351697482794582163826314795582146379963875241417923658649251837135768924278439516
009208000083010950700900081370021006020500704590043008200100065041080320005302000,Very Easy,38,Hidden Single (Box),Very Low,310,1.2,419258673683417952752936481374821596128569734596743218237194865941685327865372149
005264700687090243200837005070689010000145000061000590056913820109728306832050179,Very Easy,50,Hidden Single (Box),Very Low,196,1.2,395264781687591243214837965573689412928145637461372598756913824149728356832456179
002086005000921000498000000007600019830709056910008400000000943000197000500840600,Very Easy,34,Hidden Single (Box),Very Low,350,1.2,172486395365921784498375162257634819834719256916258437781562943643197528529843671
050001400081030069400620010300050800028709630005010002090067004510080970003400020,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,256971483781534269439628517347256891128749635965813742892167354514382976673495128
000007930470130260390460000600000150089000340017000008000091082051024096042700000,Very Easy,36,Hidden Single (Box),Very Low,330,1.2,126857934478139265395462871634278159289615347517943628763591482851324796942786513
400250067526000000000063040009600024605030018008400036000086070874000000300790051,Very Easy,35,Hidden Single (Box),Very Low,334,1.2,483259167526147389197863245739618524645932718218475936951386472874521693362794851
750042000200000543006000021000496830400378009800251400090607210075900600028010000,Very Easy,38,Hidden Single (Box),Very Low,316,1.2,753142968281769543946835721517496832462378159839251476394687215175923684628514397
807290051206000083150830200579084000040609805600570304020003018418065900960108547,Very Easy,47,Hidden Single (Box),Very Low,214,1.2,837296451296451783154837269579384126342619875681572394725943618418765932963128547
806720001000604900020001003058000049200090008130000520300400080001305000900078304,Very Easy,33,Hidden Single (Box),Very Low,354,1.2,896723451513684972724951863658132749247596138139847526372419685481365297965278314
089507360514030728030248050090306040740821093060000010900060005100982006420703089,Very Easy,45,Hidden Single (Box),Very Low,240,1.2,289517364514639728637248951891376542745821693362495817978164235153982476426753189

